timestamp,total_beds,occupied_beds,available_beds,total_icu_beds,occupied_icu_beds,available_icu_beds,total_doctors,available_doctors,total_nurses,available_nurses,ventilators_total,ventilators_in_use,oxygen_units_total,oxygen_units_in_use,incoming_patients,discharged_patients,emergency_cases,opd_cases,avg_wait_time_minutes,avg_treatment_time_minutes,bed_turnover_rate,resource_utilization_rate,icu_utilization_rate,staff_load_ratio,emergency_pressure_score
2023-01-01 13:00:00,300,265,35,50,45,5,80,31,150,38,40,33,100,90,20,9,7,10,31.38,59.09,0.0300,0.8833,0.9000,3.7857,29.80
2023-01-01 14:00:00,300,274,26,50,46,4,80,22,150,44,40,24,100,59,19,10,10,8,29.39,63.17,0.0333,0.9133,0.9200,4.0896,31.60
2023-01-01 15:00:00,300,270,30,50,46,4,80,21,150,48,40,34,100,68,12,16,9,6,23.18,54.05,0.0533,0.9000,0.9200,3.8571,31.20
2023-01-01 16:00:00,300,269,31,50,47,3,80,23,150,52,40,27,100,71,17,18,7,6,35.63,65.46,0.0600,0.8967,0.9400,3.5395,31.00
2023-01-01 17:00:00,300,277,23,50,49,1,80,23,150,37,40,34,100,59,25,17,11,9,40.63,70.29,0.0567,0.9233,0.9800,4.5410,33.80
2023-01-01 18:00:00,300,272,28,50,49,1,80,27,150,51,40,29,100,83,7,12,6,6,5.75,65.07,0.0400,0.9067,0.9800,3.4430,31.80
2023-01-01 19:00:00,300,266,34,50,49,1,80,24,150,34,40,29,100,54,6,12,3,3,8.6,51.6,0.0400,0.8867,0.9800,4.5085,30.60
2023-01-01 20:00:00,300,270,30,50,50,0,80,29,150,41,40,26,100,100,11,7,6,4,6.5,57,0.0233,0.9000,1.0000,3.8028,32.40
2023-01-01 21:00:00,300,270,30,50,50,0,80,26,150,51,40,29,100,94,10,10,8,5,15.56,58.48,0.0333,0.9000,1.0000,3.4615,33.20
2023-01-01 22:00:00,300,272,28,50,50,0,80,1,150,0,40,35,100,69,4,2,0,2,33,57,0.0067,0.9067,1.0000,272.0000,30.00
2023-01-01 23:00:00,300,272,28,50,50,0,80,10,150,0,40,33,100,88,1,1,4,2,6.36,61.82,0.0033,0.9067,1.0000,45.3333,31.60
2023-01-02 00:00:00,300,274,26,50,50,0,80,6,150,0,40,39,100,70,5,3,2,0,16.71,66.43,0.0100,0.9133,1.0000,-68.5000,30.80
2023-01-02 01:00:00,300,276,24,50,50,0,80,7,150,0,40,39,100,100,4,2,2,0,9.5,69.25,0.0067,0.9200,1.0000,-46.0000,30.80
2023-01-02 02:00:00,300,278,22,50,50,0,80,4,150,0,40,36,100,68,5,3,1,0,18,59,0.0100,0.9267,1.0000,-92.6667,30.40
2023-01-02 03:00:00,300,279,21,50,50,0,80,6,150,0,40,32,100,72,2,1,3,1,13.29,65.14,0.0033,0.9300,1.0000,93.0000,31.20
2023-01-02 04:00:00,300,280,20,50,50,0,80,2,150,0,40,28,100,79,4,3,3,0,25,56,0.0100,0.9333,1.0000,-20.0000,31.20
2023-01-02 05:00:00,300,284,16,50,50,0,80,5,150,0,40,31,100,63,5,1,2,0,14.5,52.67,0.0033,0.9467,1.0000,-47.3333,30.80
2023-01-02 06:00:00,300,283,17,50,50,0,80,19,150,31,40,33,100,72,5,6,4,20,8.75,66,0.0200,0.9433,1.0000,5.5490,31.60
2023-01-02 07:00:00,300,275,25,50,50,0,80,27,150,49,40,39,100,67,5,13,6,19,5,55.07,0.0433,0.9167,1.0000,3.5714,32.40
2023-01-02 08:00:00,300,278,22,50,50,0,80,28,150,35,40,30,100,61,8,5,3,24,10.14,67.52,0.0167,0.9267,1.0000,4.3438,31.20
2023-01-02 09:00:00,300,273,27,50,50,0,80,24,150,43,40,30,100,69,12,17,7,36,23.2,60.4,0.0567,0.9100,1.0000,4.0147,32.80
2023-01-02 10:00:00,300,286,14,50,50,0,80,19,150,34,40,35,100,100,25,12,7,31,34.75,54.75,0.0400,0.9533,1.0000,5.2963,32.80
2023-01-02 11:00:00,300,293,7,50,50,0,80,23,150,31,40,28,100,71,17,10,13,34,35.63,60.71,0.0333,0.9767,1.0000,5.3273,35.20
2023-01-02 12:00:00,300,299,1,50,50,0,80,19,150,21,40,40,100,72,24,18,9,23,43,54.25,0.0600,0.9967,1.0000,7.2927,33.60
2023-01-02 13:00:00,300,294,6,50,50,0,80,20,150,32,40,33,100,65,12,17,8,35,25.57,52.9,0.0567,0.9800,1.0000,5.5472,33.20
2023-01-02 14:00:00,300,300,0,50,50,0,80,25,150,35,40,38,100,97,25,18,10,29,39.42,57.92,0.0600,1.0000,1.0000,4.9180,34.00
2023-01-02 15:00:00,300,300,0,50,50,0,80,23,150,36,40,25,100,79,19,12,8,28,30.88,64.67,0.0400,1.0000,1.0000,5.0000,33.20
2023-01-02 16:00:00,300,294,6,50,50,0,80,22,150,37,40,35,100,84,14,20,8,21,25.13,68.74,0.0667,0.9800,1.0000,4.9000,33.20
2023-01-02 17:00:00,300,296,4,50,50,0,80,25,150,27,40,39,100,100,11,9,8,37,31.35,58.54,0.0300,0.9867,1.0000,5.5849,33.20
2023-01-02 18:00:00,300,298,2,50,50,0,80,19,150,31,40,29,100,79,15,13,4,12,17.25,69,0.0433,0.9933,1.0000,5.8431,31.60
2023-01-02 19:00:00,300,300,0,50,50,0,80,18,150,21,40,33,100,100,11,5,3,18,12.68,68.79,0.0167,1.0000,1.0000,7.5000,31.20
2023-01-02 20:00:00,300,300,0,50,50,0,80,18,150,38,40,38,100,63,6,6,8,22,10.74,52.11,0.0200,1.0000,1.0000,5.2632,33.20
2023-01-02 21:00:00,300,295,5,50,50,0,80,19,150,22,40,31,100,89,10,15,8,18,12.5,54,0.0500,0.9833,1.0000,7.0238,33.20
2023-01-02 22:00:00,300,295,5,50,50,0,80,1,150,0,40,26,100,60,3,3,4,0,32.5,76,0.0100,0.9833,1.0000,-14.7500,31.60
2023-01-02 23:00:00,300,295,5,50,50,0,80,5,150,0,40,32,100,63,3,3,3,2,12.5,59.5,0.0100,0.9833,1.0000,-49.1667,31.20
2023-01-03 00:00:00,300,295,5,50,50,0,80,1,150,0,40,37,100,71,1,1,3,2,15.5,74.5,0.0033,0.9833,1.0000,-13.4091,31.20
2023-01-03 01:00:00,300,294,6,50,50,0,80,6,150,0,40,34,100,63,2,3,0,0,5.29,59,0.0100,0.9800,1.0000,-147.0000,30.00
2023-01-03 02:00:00,300,295,5,50,50,0,80,0,150,0,40,38,100,100,3,2,0,2,5,65,0.0067,0.9833,1.0000,-14.0476,30.00
2023-01-03 03:00:00,300,296,4,50,50,0,80,0,150,0,40,30,100,89,4,3,2,0,64,74,0.0100,0.9867,1.0000,-15.5789,30.80
2023-01-03 04:00:00,300,294,6,50,50,0,80,0,150,0,40,38,100,84,1,3,0,2,19,67,0.0100,0.9800,1.0000,-32.6667,30.00
2023-01-03 05:00:00,300,294,6,50,50,0,80,2,150,0,40,34,100,80,1,1,0,2,12,56,0.0033,0.9800,1.0000,-15.4737,30.00
2023-01-03 06:00:00,300,289,11,50,50,0,80,27,150,24,40,26,100,69,7,12,5,24,11.75,67.89,0.0400,0.9633,1.0000,5.5577,32.00
2023-01-03 07:00:00,300,292,8,50,50,0,80,27,150,38,40,35,100,73,10,7,6,13,10.36,63.07,0.0233,0.9733,1.0000,4.4242,32.40
2023-01-03 08:00:00,300,288,12,50,50,0,80,23,150,45,40,37,100,98,9,13,8,24,12.63,60.67,0.0433,0.9600,1.0000,4.1739,33.20
2023-01-03 09:00:00,300,286,14,50,50,0,80,19,150,42,40,40,100,100,16,18,8,31,28,58,0.0600,0.9533,1.0000,4.6129,33.20
2023-01-03 10:00:00,300,293,7,50,50,0,80,18,150,28,40,36,100,62,15,8,12,23,30.84,55.16,0.0267,0.9767,1.0000,6.2340,34.80
2023-01-03 11:00:00,300,293,7,50,50,0,80,18,150,23,40,33,100,98,14,14,5,22,33.05,56.32,0.0467,0.9767,1.0000,6.9762,32.00
2023-01-03 12:00:00,300,286,14,50,50,0,80,22,150,35,40,37,100,63,13,20,5,29,27.48,61.09,0.0667,0.9533,1.0000,4.9310,32.00
2023-01-03 13:00:00,300,295,5,50,50,0,80,19,150,30,40,25,100,59,21,12,6,29,30.75,67.5,0.0400,0.9833,1.0000,5.9000,32.40
2023-01-03 14:00:00,300,300,0,50,50,0,80,24,150,38,40,31,100,78,23,12,15,33,37.8,54,0.0400,1.0000,1.0000,4.7619,36.00
2023-01-03 15:00:00,300,300,0,50,50,0,80,18,150,36,40,28,100,64,23,20,15,37,41.16,69.95,0.0667,1.0000,1.0000,5.4545,36.00
2023-01-03 16:00:00,300,300,0,50,50,0,80,21,150,21,40,35,100,78,13,12,11,22,28.86,65.5,0.0400,1.0000,1.0000,6.9767,34.40
2023-01-03 17:00:00,300,300,0,50,50,0,80,22,150,20,40,40,100,98,23,12,8,24,37,60.74,0.0400,1.0000,1.0000,6.9767,33.20
2023-01-03 18:00:00,300,300,0,50,50,0,80,20,150,34,40,32,100,83,12,5,6,21,13.57,70.43,0.0167,1.0000,1.0000,5.4545,32.40
2023-01-03 19:00:00,300,296,4,50,50,0,80,26,150,36,40,35,100,98,8,12,4,21,5.44,70.74,0.0400,0.9867,1.0000,4.6984,31.60
2023-01-03 20:00:00,300,300,0,50,50,0,80,21,150,23,40,29,100,85,15,10,3,17,17.23,52.68,0.0333,1.0000,1.0000,6.6667,31.20
2023-01-03 21:00:00,300,300,0,50,50,0,80,15,150,30,40,32,100,100,8,8,4,20,13.5,54.25,0.0267,1.0000,1.0000,6.5217,31.60
2023-01-03 22:00:00,300,300,0,50,50,0,80,0,150,0,40,27,100,89,4,3,0,1,5,50,0.0100,1.0000,1.0000,-12.5000,30.00
2023-01-03 23:00:00,300,300,0,50,50,0,80,0,150,0,40,27,100,92,4,2,4,0,5,49,0.0067,1.0000,1.0000,-15.7895,31.60
2023-01-04 00:00:00,300,300,0,50,50,0,80,4,150,0,40,38,100,71,4,3,4,0,20,64,0.0100,1.0000,1.0000,-30.0000,31.60
2023-01-04 01:00:00,300,300,0,50,50,0,80,4,150,0,40,37,100,68,3,3,0,0,11,65,0.0100,1.0000,1.0000,-33.3333,30.00
2023-01-04 02:00:00,300,300,0,50,50,0,80,4,150,0,40,39,100,70,4,3,4,0,14,66,0.0100,1.0000,1.0000,-21.4286,31.60
2023-01-04 03:00:00,300,300,0,50,50,0,80,0,150,0,40,31,100,100,1,1,3,0,5,48.5,0.0033,1.0000,1.0000,-10.3448,31.20
2023-01-04 04:00:00,300,300,0,50,50,0,80,5,150,0,40,38,100,100,2,1,1,1,6,61.83,0.0033,1.0000,1.0000,-50.0000,30.40
2023-01-04 05:00:00,300,298,2,50,50,0,80,0,150,0,40,34,100,78,1,3,3,2,5,46,0.0100,0.9933,1.0000,-17.5294,31.20
2023-01-04 06:00:00,300,300,0,50,50,0,80,20,150,25,40,37,100,73,14,11,7,22,18,69.67,0.0367,1.0000,1.0000,6.5217,32.80
2023-01-04 07:00:00,300,299,1,50,50,0,80,16,150,35,40,25,100,63,12,13,4,20,13.59,54.18,0.0433,0.9967,1.0000,5.7500,31.60
2023-01-04 08:00:00,300,297,3,50,50,0,80,26,150,34,40,27,100,78,11,13,4,17,7.11,61.74,0.0433,0.9900,1.0000,4.8689,31.60
2023-01-04 09:00:00,300,294,6,50,50,0,80,18,150,35,40,29,100,67,13,16,8,37,29.26,68.11,0.0533,0.9800,1.0000,5.4444,33.20
2023-01-04 10:00:00,300,291,9,50,50,0,80,17,150,34,40,37,100,96,15,18,10,22,32.5,66.78,0.0600,0.9700,1.0000,5.5962,34.00
2023-01-04 11:00:00,300,293,7,50,50,0,80,19,150,41,40,34,100,65,22,20,8,35,32.5,69,0.0667,0.9767,1.0000,4.8033,33.20
2023-01-04 12:00:00,300,298,2,50,50,0,80,23,150,36,40,29,100,85,15,10,9,24,31.38,57.88,0.0333,0.9933,1.0000,4.9667,33.60
2023-01-04 13:00:00,300,296,4,50,50,0,80,21,150,41,40,37,100,100,11,13,12,38,25.5,65.73,0.0433,0.9867,1.0000,4.6984,34.80
2023-01-04 14:00:00,300,299,1,50,50,0,80,21,150,36,40,34,100,100,18,15,12,38,31.27,64.73,0.0500,0.9967,1.0000,5.1552,34.80
2023-01-04 15:00:00,300,295,5,50,50,0,80,24,150,39,40,38,100,61,12,16,5,35,32.2,60,0.0533,0.9833,1.0000,4.6094,32.00
2023-01-04 16:00:00,300,300,0,50,50,0,80,22,150,22,40,28,100,97,18,9,12,38,32.74,61.61,0.0300,1.0000,1.0000,6.6667,34.80
2023-01-04 17:00:00,300,291,9,50,50,0,80,21,150,33,40,26,100,75,10,19,13,33,21.82,72.95,0.0633,0.9700,1.0000,5.2909,35.20
2023-01-04 18:00:00,300,297,3,50,50,0,80,21,150,22,40,37,100,93,15,9,3,14,18.23,59.68,0.0300,0.9900,1.0000,6.7500,31.20
2023-01-04 19:00:00,300,300,0,50,50,0,80,22,150,28,40,37,100,78,12,6,5,19,12.83,63.09,0.0200,1.0000,1.0000,5.8824,32.00
2023-01-04 20:00:00,300,299,1,50,50,0,80,24,150,27,40,27,100,68,12,13,4,14,9.2,69.8,0.0433,0.9967,1.0000,5.7500,31.60
2023-01-04 21:00:00,300,300,0,50,50,0,80,15,150,22,40,36,100,97,13,12,5,12,13.19,61.56,0.0400,1.0000,1.0000,7.8947,32.00
2023-01-04 22:00:00,300,300,0,50,50,0,80,2,150,0,40,26,100,100,3,2,4,1,20,68.67,0.0067,1.0000,1.0000,-12.5000,31.60
2023-01-04 23:00:00,300,300,0,50,50,0,80,5,150,0,40,30,100,90,5,2,4,1,14.5,70.33,0.0067,1.0000,1.0000,-75.0000,31.60
2023-01-05 00:00:00,300,300,0,50,50,0,80,0,150,0,40,30,100,79,4,1,3,1,5,52,0.0033,1.0000,1.0000,-9.3750,31.20
2023-01-05 01:00:00,300,300,0,50,50,0,80,4,150,0,40,38,100,83,4,3,4,0,22,69,0.0100,1.0000,1.0000,-42.8571,31.60
2023-01-05 02:00:00,300,299,1,50,50,0,80,5,150,0,40,29,100,83,1,2,1,0,5,68.83,0.0067,0.9967,1.0000,-27.1818,30.40
2023-01-05 03:00:00,300,300,0,50,50,0,80,2,150,0,40,31,100,64,5,2,0,2,32,55,0.0067,1.0000,1.0000,-15.0000,30.00
2023-01-05 04:00:00,300,298,2,50,50,0,80,0,150,0,40,37,100,87,1,3,1,0,5,49.33,0.0100,0.9933,1.0000,-18.6250,30.40
2023-01-05 05:00:00,300,298,2,50,50,0,80,0,150,0,40,26,100,100,2,2,1,1,5,66.33,0.0067,0.9933,1.0000,-16.5556,30.40
2023-01-05 06:00:00,300,299,1,50,50,0,80,20,150,23,40,34,100,88,9,8,8,22,14.43,63.9,0.0267,0.9967,1.0000,6.7955,33.20
2023-01-05 07:00:00,300,297,3,50,50,0,80,21,150,33,40,27,100,64,7,9,8,12,13.77,69.82,0.0300,0.9900,1.0000,5.4000,33.20
2023-01-05 08:00:00,300,292,8,50,50,0,80,26,150,37,40,33,100,84,5,10,3,10,5,64.56,0.0333,0.9733,1.0000,4.5625,31.20
2023-01-05 09:00:00,300,294,6,50,50,0,80,19,150,42,40,28,100,100,12,10,5,38,27,62.25,0.0333,0.9800,1.0000,4.7419,32.00
2023-01-05 10:00:00,300,291,9,50,50,0,80,22,150,35,40,36,100,90,14,17,15,22,34.13,55.26,0.0567,0.9700,1.0000,5.0172,36.00
2023-01-05 11:00:00,300,293,7,50,50,0,80,18,150,26,40,34,100,79,18,16,6,39,33.21,61.58,0.0533,0.9767,1.0000,6.5111,32.40
2023-01-05 12:00:00,300,300,0,50,50,0,80,16,150,29,40,39,100,100,25,13,7,38,39.06,69.06,0.0433,1.0000,1.0000,6.5217,32.80
2023-01-05 13:00:00,300,300,0,50,50,0,80,15,150,31,40,38,100,87,18,14,12,31,39.88,59.75,0.0467,1.0000,1.0000,6.3830,34.80
2023-01-05 14:00:00,300,300,0,50,50,0,80,25,150,20,40,25,100,91,25,15,8,40,30.42,56.54,0.0500,1.0000,1.0000,6.5217,33.20
2023-01-05 15:00:00,300,300,0,50,50,0,80,18,150,32,40,39,100,89,23,15,12,35,36.16,72.16,0.0500,1.0000,1.0000,5.8824,34.80
2023-01-05 16:00:00,300,300,0,50,50,0,80,22,150,20,40,26,100,63,12,11,7,35,26.83,57.52,0.0367,1.0000,1.0000,6.9767,32.80
2023-01-05 17:00:00,300,300,0,50,50,0,80,21,150,34,40,27,100,91,11,8,11,34,22.5,65.5,0.0267,1.0000,1.0000,5.3571,34.40
2023-01-05 18:00:00,300,300,0,50,50,0,80,19,150,26,40,26,100,71,13,8,4,24,10.75,57,0.0267,1.0000,1.0000,6.5217,31.60
2023-01-05 19:00:00,300,297,3,50,50,0,80,22,150,30,40,28,100,68,11,14,6,14,7.17,60.3,0.0467,0.9900,1.0000,5.6038,32.40
2023-01-05 20:00:00,300,299,1,50,50,0,80,20,150,22,40,33,100,86,7,5,3,17,10,54.71,0.0167,0.9967,1.0000,6.9535,31.20
2023-01-05 21:00:00,300,300,0,50,50,0,80,16,150,25,40,27,100,73,12,7,4,22,10.59,68.18,0.0233,1.0000,1.0000,7.1429,31.60
2023-01-05 22:00:00,300,300,0,50,50,0,80,3,150,0,40,30,100,98,5,1,4,0,19.75,58,0.0033,1.0000,1.0000,-13.0435,31.60
2023-01-05 23:00:00,300,300,0,50,50,0,80,0,150,0,40,25,100,100,3,1,3,1,5,56.5,0.0033,1.0000,1.0000,-13.6364,31.20
2023-01-06 00:00:00,300,300,0,50,50,0,80,1,150,0,40,40,100,98,3,3,2,2,24.5,71,0.0100,1.0000,1.0000,-13.6364,30.80
2023-01-06 01:00:00,300,300,0,50,50,0,80,0,150,0,40,35,100,100,5,1,2,1,5,64.67,0.0033,1.0000,1.0000,-15.0000,30.80
2023-01-06 02:00:00,300,300,0,50,50,0,80,0,150,0,40,36,100,88,3,3,4,2,5,59,0.0100,1.0000,1.0000,-10.3448,31.60
2023-01-06 03:00:00,300,300,0,50,50,0,80,0,150,0,40,26,100,100,1,1,3,2,5,48,0.0033,1.0000,1.0000,-12.5000,31.20
2023-01-06 04:00:00,300,299,1,50,50,0,80,0,150,0,40,27,100,90,1,2,3,1,5,63.25,0.0067,0.9967,1.0000,-9.3438,31.20
2023-01-06 05:00:00,300,300,0,50,50,0,80,4,150,0,40,28,100,93,4,3,0,0,20,56,0.0100,1.0000,1.0000,-21.4286,30.00
2023-01-06 06:00:00,300,300,0,50,50,0,80,23,150,32,40,33,100,98,12,10,6,20,15.5,57.25,0.0333,1.0000,1.0000,5.3571,32.40
2023-01-06 07:00:00,300,300,0,50,50,0,80,21,150,38,40,37,100,74,15,15,7,24,20.23,53.59,0.0500,1.0000,1.0000,5.0000,32.80
2023-01-06 08:00:00,300,300,0,50,50,0,80,25,150,29,40,35,100,67,8,5,5,23,7.62,60.96,0.0167,1.0000,1.0000,5.4545,32.00
2023-01-06 09:00:00,300,300,0,50,50,0,80,15,150,32,40,32,100,100,24,13,13,34,46.5,73.06,0.0433,1.0000,1.0000,6.2500,35.20
2023-01-06 10:00:00,300,300,0,50,50,0,80,23,150,24,40,30,100,79,22,9,12,40,33.75,57.5,0.0300,1.0000,1.0000,6.2500,34.80
2023-01-06 11:00:00,300,296,4,50,50,0,80,22,150,37,40,37,100,100,15,19,6,25,32.78,52.3,0.0633,0.9867,1.0000,4.9333,32.40
2023-01-06 12:00:00,300,297,3,50,50,0,80,17,150,38,40,27,100,67,19,18,6,25,33.83,63.67,0.0600,0.9900,1.0000,5.3036,32.40
2023-01-06 13:00:00,300,300,0,50,50,0,80,16,150,22,40,29,100,63,22,16,5,38,37.41,52.47,0.0533,1.0000,1.0000,7.6923,32.00
2023-01-06 14:00:00,300,300,0,50,50,0,80,17,150,28,40,37,100,96,22,18,14,37,35.33,67.89,0.0600,1.0000,1.0000,6.5217,35.60
2023-01-06 15:00:00,300,299,1,50,50,0,80,20,150,29,40,26,100,91,17,18,5,21,29.14,51.19,0.0600,0.9967,1.0000,5.9800,32.00
2023-01-06 16:00:00,300,300,0,50,50,0,80,15,150,34,40,33,100,100,13,8,10,31,34.19,65.13,0.0267,1.0000,1.0000,6.0000,34.00
2023-01-06 17:00:00,300,300,0,50,50,0,80,18,150,33,40,26,100,93,22,11,15,25,32.37,73.95,0.0367,1.0000,1.0000,5.7692,36.00
2023-01-06 18:00:00,300,300,0,50,50,0,80,16,150,38,40,30,100,96,15,5,4,16,19.24,67.18,0.0167,1.0000,1.0000,5.4545,31.60
2023-01-06 19:00:00,300,294,6,50,50,0,80,26,150,29,40,37,100,100,7,13,5,15,8.89,68.93,0.0433,0.9800,1.0000,5.2500,32.00
2023-01-06 20:00:00,300,292,8,50,50,0,80,23,150,40,40,29,100,63,13,15,6,17,18.13,71.25,0.0500,0.9733,1.0000,4.5625,32.40
2023-01-06 21:00:00,300,300,0,50,50,0,80,15,150,31,40,28,100,100,14,6,4,22,17.13,66.25,0.0200,1.0000,1.0000,6.3830,31.60
2023-01-06 22:00:00,300,300,0,50,50,0,80,3,150,0,40,33,100,69,5,3,3,0,20.75,67.75,0.0100,1.0000,1.0000,-15.0000,31.20
2023-01-06 23:00:00,300,300,0,50,50,0,80,4,150,0,40,28,100,99,5,3,0,1,24,70,0.0100,1.0000,1.0000,-37.5000,30.00
2023-01-07 00:00:00,300,300,0,50,50,0,80,2,150,0,40,32,100,78,4,2,0,1,27,57,0.0067,1.0000,1.0000,-30.0000,30.00
2023-01-07 01:00:00,300,299,1,50,50,0,80,2,150,0,40,39,100,100,1,2,3,2,9,71,0.0067,0.9967,1.0000,-11.5000,31.20
2023-01-07 02:00:00,300,300,0,50,50,0,80,0,150,0,40,38,100,100,5,2,4,1,5,35,0.0067,1.0000,1.0000,-21.4286,31.60
2023-01-07 03:00:00,300,300,0,50,50,0,80,0,150,0,40,28,100,94,4,2,1,1,69,73,0.0067,1.0000,1.0000,-13.0435,30.40
2023-01-07 04:00:00,300,300,0,50,50,0,80,4,150,0,40,32,100,83,5,3,0,1,18,53,0.0100,1.0000,1.0000,-23.0769,30.00
2023-01-07 05:00:00,300,300,0,50,50,0,80,5,150,0,40,29,100,97,5,1,4,0,19.5,65.33,0.0033,1.0000,1.0000,-12.5000,31.60
2023-01-07 06:00:00,300,300,0,50,50,0,80,19,150,27,40,40,100,78,7,5,8,4,8.25,66,0.0167,1.0000,1.0000,6.3830,33.20
2023-01-07 07:00:00,300,292,8,50,50,0,80,27,150,41,40,37,100,100,6,14,7,3,5.21,59.25,0.0467,0.9733,1.0000,4.2319,32.80
2023-01-07 08:00:00,300,286,14,50,50,0,80,25,150,34,40,32,100,70,9,15,4,7,11.19,64.77,0.0500,0.9533,1.0000,4.7667,31.60
2023-01-07 09:00:00,300,291,9,50,50,0,80,27,150,43,40,34,100,63,20,15,6,10,31.71,64.07,0.0500,0.9700,1.0000,4.0986,32.40
2023-01-07 10:00:00,300,284,16,50,50,0,80,20,150,46,40,35,100,60,13,20,10,10,28.29,62.38,0.0667,0.9467,1.0000,4.2388,34.00
2023-01-07 11:00:00,300,279,21,50,50,0,80,26,150,39,40,35,100,100,12,17,10,7,31.67,71.85,0.0567,0.9300,1.0000,4.2273,34.00
2023-01-07 12:00:00,300,277,23,50,50,0,80,26,150,43,40,32,100,97,12,14,15,8,28.67,66.78,0.0467,0.9233,1.0000,3.9571,36.00
2023-01-07 13:00:00,300,269,31,50,50,0,80,27,150,48,40,25,100,58,10,18,10,10,22.36,60.79,0.0600,0.8967,1.0000,3.5395,34.00
2023-01-07 14:00:00,300,279,21,50,50,0,80,19,150,40,40,38,100,80,22,12,10,5,34.5,58.5,0.0400,0.9300,1.0000,4.6500,34.00
2023-01-07 15:00:00,300,286,14,50,50,0,80,28,150,34,40,27,100,72,21,14,13,6,28.86,60.24,0.0467,0.9533,1.0000,4.5397,35.20
2023-01-07 16:00:00,300,286,14,50,50,0,80,26,150,42,40,35,100,78,18,18,14,9,27,62.59,0.0600,0.9533,1.0000,4.1449,35.60
2023-01-07 17:00:00,300,300,0,50,50,0,80,15,150,24,40,27,100,95,24,9,10,7,38.5,67.13,0.0300,1.0000,1.0000,7.5000,34.00
2023-01-07 18:00:00,300,300,0,50,50,0,80,22,150,21,40,27,100,60,14,7,6,3,19.13,60.3,0.0233,1.0000,1.0000,6.8182,32.40
2023-01-07 19:00:00,300,300,0,50,50,0,80,25,150,27,40,39,100,100,13,10,6,5,10.5,68.15,0.0333,1.0000,1.0000,5.6604,32.40
2023-01-07 20:00:00,300,300,0,50,50,0,80,16,150,31,40,26,100,85,15,15,6,4,16.24,51.76,0.0500,1.0000,1.0000,6.2500,32.40
2023-01-07 21:00:00,300,296,4,50,50,0,80,16,150,27,40,29,100,61,11,15,6,7,18.71,63.76,0.0500,0.9867,1.0000,6.7273,32.40
2023-01-07 22:00:00,300,298,2,50,50,0,80,0,150,0,40,33,100,85,5,3,2,0,5,57.5,0.0100,0.9933,1.0000,-9.3125,30.80
2023-01-07 23:00:00,300,299,1,50,50,0,80,0,150,0,40,33,100,93,2,1,1,1,5,66.75,0.0033,0.9967,1.0000,-9.9667,30.40
2023-01-08 00:00:00,300,298,2,50,50,0,80,2,150,0,40,35,100,96,1,2,0,0,8,61,0.0067,0.9933,1.0000,-17.5294,30.00
